ICAO,TIPO,NOME,MUNICIPIO,UF,LATD,LONGT,DIST,APROXIMCAO,SUPERFICIE,COMPRIMENTO,LARGURA,ORIENTACAO
SJKM,Privado,Canawapai,Uiramutã,RR,4.808055555555556,-60.02222222222222,21.065121590155243,VFR Diurna,Terra,700,20,30.0
SWCC,Privado,Candote,Três Lagoas,MS,-20.83888888888889,-52.30166666666666,8.597723446168182,VFR Diurna,Asfalto,1300,22,10.0
SDKH,Privado,Canutama,Canutama,AM,-6.529166666666667,-64.38388888888889,16.90163336078338,VFR Diurna,Asfalto,1000,18,170.0
SWMC,Privado,Capão da Cruz,Luís Antônio,SP,-21.458333333333332,-47.88777777777778,8.50421770812345,VFR Diurna,Terra,800,30,50.0
SIMJ,Privado,Capinópolis - Aviação Agrícola Buttarello LTDA,Capinópolis,MG,-18.659444444444443,-49.5475,5.7126016550914045,VFR Diurna,Terra,888,20,110.0
SNJA,Privado,Capivari,Capivari do Sul,RS,-30.134444444444444,-50.50972222222222,17.222538135543406,VFR Diurna,Saibro,648,18,100.0
SJKN,Privado,Caracanã,Uiramutã,RR,4.704722222222222,-60.265277777777776,21.10920652592894,VFR Diurna,Terra,800,30,120.0
SDKL,Privado,Caracaranã,Normandia,RR,3.836666666666667,-59.77722222222222,20.115473782484642,VFR Diurna,Piçarra,920,20,130.0
SJKQ,Privado,Caramambatai (Mapae),Uiramutã,RR,5.123055555555555,-60.58583333333333,21.634672635167473,VFR Diurna,Cascalho,700,20,170.0
SWKN,Privado,Caramori,Barra do Bugres,MT,-14.867222222222223,-58.50666666666667,9.914090810807526,VFR Diurna,Cascalho,800,18,20.0
SJKP,Privado,Caraparu,Uiramutã,RR,4.541111111111111,-60.463055555555556,21.081226891185775,VFR Diurna,Terra,800,20,180.0
SDKZ,Privado,Caraparu 4,Uiramutã,RR,4.558055555555556,-60.47,21.099178061999837,VFR Diurna,Terra,615,20,110.0
SJKO,Privado,Cararuau,Normandia,RR,4.063055555555556,-60.165,20.518135633920917,VFR Diurna,Terra,600,20,60.0
